ID_SALES,text
HD1927A," Lastly, for a company that's trying to put the love in flying it would be nice to have someone personally address my concerns."
ST4244A, what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one
HD108A, an already pleasant flight from London to Charlotte (US733) was made fantastic by an amazing attendant. Thank you so much Robert!
HD4335A, She could even see that I had tried to make the transaction but wouldn't offer me the price I'd tried to purchase it at.
HN416A, but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
HD4902A, didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...
HC3825A, thank you for getting our daughter home when  Cancelled Flightled all their flights to Nashville
HY37T,"...still waiting for a call back....attempt #9 and hour #13...can't put a hold on an online tix, we are within seven day window."
HD4172A, our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
HS2620A," My booked seat ended up being the last row which was labeled ""do no occupy"" had to play musical chairs for 30 mins. Unacceptable"
HC3000A, appreciate getting put on hold for 20min and then getting hung up on because I was requesting help for big group. I'll try #Delta
HS4611A," lines #BQONPA flight #1641 delayed from POS-MIA, missed #2214 MIA- ATL need seat on last flight to ATL."
HD1864A, why do you guys split up the charges to credit cards? Making it unnecessarily more expensive for people to fly with you guys on pts
HD1123A, @TomVH just get the RR credit card and get the points of family that way
HD4121A, I do not see where it talks about military baggage fees. Can you please guide me. Thanks
SK56A, POOR EXPERIENCE 2day at ord chkin. 8 emp. w/3 cust. 10 waiting. Asked to speak w/supervisor. Told 20 min. In a mtg!! What?!?!
HD2912A," - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???"
HD3300A," @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
HD1762A, I'm searching for flights to redeem with miles and getting different search results with 2 user accounts. Any reason why?
HD262A, thanks. Can you change the music in the boarding gates?
HD70A," Considering it was past midnight, I hung up and called again to receive another service call."
HN1906A, also ran out of water and refused service #costumerservice #legit #jk
SK4213A," I'd go back to Haiti to deliver shoes, books&amp;medicine to kids I met in orphanage last year. #flyingitforward http://t.co/pGoeUXnsPI"
HD3211A," it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm."
HD1124A, Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet.
HD2172A, flight is already over. I think the airline should just have the flight attendants actually emphasize that VAPE is still smoking
HS858A,. I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
HS3525A, had to be stuck in the middle seat :( http://t.co/dzeGAPfqw1
HVP2092T, Stop trying to make #fleek happen! #PointsMe
HY969A," done. Sorry, I thought I was already."
HD3305T," Got an email about an itinerary change, but can't seem to get to anyone on phone. New flight time doesn't work for me. Help?"
HD1686A, Thanks! See you soon!
HD1729T," Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)"
HC3690A,  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.
HS322A," 
No one answers phone, delayed/Cancelled Flightled flights. Rude employees. You only get (I'm sorry, we apologize) blah blah blah. Bad"
HD3362A, #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?
HD4749A, Flight 4315 (N231WN) taxis at @FlyTPA prior to flight to @Fly_Nashville http://t.co/IDRa8keNoH
HD1706T, a worker just checked for ice on our plane using his cell phone flashlight! Really?! Come on!
HD3946A,. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?
HD2611A, Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(
HD2051A, now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
HD4008A, You guys really suck! I just spent 40 minutes on the phone linking my credits to my account.  They are still NOT there! 1/2
ST4323A," delayed 2.5 hours @longbeachairport trying to get to @PHXSkyHarbor; give us an update, please???"
HD1319A, flight 614 keeps telling a few more mins to take off its been an hour. First time with you not the best #lies #brokenpromises
HC843A, Yes. Please train your customer service agents with correct protocol.. I should not be receiving different 411 evrytime I call
HD3840A," Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos."
HS2183A, @CNN @nbsnewsr @cnnbrk except you aren't working with her  youve done nothing to help
HD4847A, thank you! I tried that and they said they didn't have it. Anywhere else to try?
SG1057A, you call this a window seat? #airbus321seat14Fproblems http://t.co/ZKOE6clGiU
HD4182A," Define ""sincerely"". Your actions do not reflect what you're saying in a poor attempt to redeem yourselves on social media."
HD3989A," yes starting w/ flight 1278, getting me home more than 48 hours Late Flightr. record locator BSUXLU"
HD305T, is your website down? I haven't been able to check in to my flight all morning.
HD1845A, Oh I will. #Disney bound. #workhard #playsoon
HO2766A, usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F
SK2610A, plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible
HD4789A, I did 50 times and no one was helpful I'm missing work nd school nd the manager REM from mia told me he didn't want to talk us
SK3798T, on our way now
HD4540A, is this account even aware of the #destinationdragons contest? The one youre fucking up for me?
HD740T, what happens if it isn't located
HD2527A, testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am
HD593A, i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet
CC242A, continues to prove to be the best airlines Å”ĀĀÅ
SG4931T, you have to follow me in order for me to DM...come on now
HS1717A, So disappointed in the service and the level of staff communication. Such a bummer.
HD590A, got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6
HG4382A,  your person taking tickets is rude and now we are delayed 4-50 minutes because you overfilled fuel on the plane #500.
HC852A, any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...
HS906A, - I am Platinum.  I am flying USAir and they have stranded me in CLT.  Not answering phones. Did not rebook me.  Please help?
HD4896A," yes, you can. I will DM."
HD984A, thank you
HH3042A, Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
HD3858T," 1hr delay at the start, huge queues at security, no representative to meet us, rude staff at baggage reclaim  #inefficient"
HD1450A, living in DFW.. Your Hub.. Hate having to fly to JFK to get to Ireland
HC3873A, Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!
HN1429A, help! I've been on hold for almost two hours. Trying 2 get home.
HD4028A," I'm excited too, but perhaps you could scale your excitement back by a few weeks..."
HD2569A, word thanks
HD1795A, - why does my TSA-pre work with every airline BUT you? I pay good money for that. Spent 30 mins on phone to fix to zero success.
HD2920A, alright thank you. Much appreciated.
HD2631A," flight 1388 tomorrow 5:15 am, status please, thanks"
HD1592T," I fly back to Omaha for my grandmothers funeral, you Cancelled Flight my return flight and dont bother to notify me. Thanks a lot."
HD687A," - why can't the gate agent on flight #759 provide an update? Seriously, this is ridiculous how long people have been waiting"
HD1650A,". nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same."
HO273A, leave our luggage in the baggage claim without any previous information! That's not the deal!! http://t.co/oTTy5rYMzD
HN2530A, thank you!
HD4945A," Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United"
HC4215A, thx for showing me that your Twitter appreciates me more than your employees. Sure another airline would like my $1300 #nohotel
